-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::as_strided         0.00%      23.000us         0.00%      23.000us      11.500us      16.000us         0.00%      16.000us       8.000us             2  
void at::native::legacy::elementwise_kernel<128, 4, ...         0.00%       0.000us         0.00%       0.000us       0.000us      14.000us         0.00%      14.000us      14.000us             1  
                           batched_transpose_64x4_dword         0.00%       0.000us         0.00%       0.000us       0.000us      10.000us         0.00%      10.000us      10.000us             1  
                                            aten::zero_         0.00%       8.000us         0.00%       8.000us       8.000us       9.000us         0.00%       9.000us       9.000us             1  
                                   aten::_reshape_alias         0.00%      29.000us         0.00%      29.000us      29.000us       8.000us         0.00%       8.000us       8.000us             1  
                                         hipEventCreate         0.00%     159.000us         0.00%     159.000us       0.211us       0.000us         0.00%       0.000us       0.000us           754  
                                              hipMalloc         0.01%       1.101ms         0.01%       1.101ms      73.400us       0.000us         0.00%       0.000us       0.000us            15  
                                                hipInit         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us             1  
                                  hipDeviceGetAttribute         0.00%      58.000us         0.00%      58.000us       0.652us       0.000us         0.00%       0.000us       0.000us            89  
                                          hipMemGetInfo         0.00%       1.000us         0.00%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us             1  
                                          hipModuleLoad        23.50%        3.657s        23.50%        3.657s     261.179ms       0.000us         0.00%       0.000us       0.000us            14  
                                                hipFree         0.00%      89.000us         0.00%      89.000us      89.000us       0.000us         0.00%       0.000us       0.000us             1  
                               hipExtModuleLaunchKernel         0.00%     420.000us         0.00%     420.000us       7.778us       0.000us         0.00%       0.000us       0.000us            54  
                                        hipLaunchKernel         0.16%      25.453ms         0.16%      25.453ms     530.271us       0.000us         0.00%       0.000us       0.000us            48  
                                      hipGetDeviceCount         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us             1  
                                   hipDeviceSynchronize         0.00%       3.000us         0.00%       3.000us       3.000us       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 15.560s
Self CUDA time total: 11.883s

